trip_id,line_id,line_name,date,day_of_week,is_weekend,planned_departure,actual_departure,departure_delay_min,planned_duration_min,actual_duration_min,total_delay_min,num_stops,weather_condition,temperature_c,precipitation_mm,wind_speed_kmh,humidity_pct,traffic_level,speed_factor,bus_capacity,avg_occupancy_pct
TRP-00018,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 08:54:00,2025-03-01 09:00:24,6.4,31.7,37.7,6.0,14,clear,32.8,0,15.3,94.8,moderate,0.84,60,70.4
TRP-00019,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 09:06:00,2025-03-01 09:07:42,1.7,31.7,33.4,1.7,14,cloudy,1.4,0,10.1,47.1,low,0.95,60,42.7
TRP-00020,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 09:18:00,2025-03-01 09:18:00,0,31.7,35.9,4.2,14,rain,2.3,4.4,2.2,87.9,low,0.883,60,37.3
TRP-00021,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 09:30:00,2025-03-01 09:30:00,0,31.7,31.9,0.2,14,clear,25.2,0,9.7,30.8,low,0.994,60,22.9
TRP-00022,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 09:42:00,2025-03-01 09:42:00,0,31.7,31.9,0.2,14,clear,20.9,0,12.8,76.3,low,0.995,60,61.4
TRP-00023,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 09:54:00,2025-03-01 10:00:42,6.7,31.7,32.1,0.4,14,clear,35.6,0,16.4,74.7,low,0.989,60,43.3
TRP-00024,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 10:06:00,2025-03-01 10:06:00,0,31.7,40.0,8.3,14,clear,18.2,0,0.4,85.0,moderate,0.792,60,36.1
TRP-00025,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 10:18:00,2025-03-01 10:18:00,0,31.7,50.4,18.7,14,snow,-2.8,8.2,8.2,79.1,low,0.629,60,69.9
TRP-00026,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 10:30:00,2025-03-01 10:30:00,0,31.7,46.8,15.1,14,rain,19.3,6.5,5.7,53.1,moderate,0.677,60,30.0
TRP-00027,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 10:42:00,2025-03-01 10:49:42,7.7,31.7,59.5,27.8,14,wind,19.2,0,24.1,37.2,high,0.533,60,65.6
TRP-00028,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 10:54:00,2025-03-01 10:54:00,0,31.7,40.3,8.6,14,clear,28.7,0,4.9,89.4,moderate,0.787,60,55.6
TRP-00029,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 11:06:00,2025-03-01 11:09:00,3.0,31.7,54.0,22.3,14,cloudy,19.9,0,2.7,67.5,high,0.587,60,96.3
TRP-00030,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 11:18:00,2025-03-01 11:20:18,2.3,31.7,35.7,4.0,14,rain,2.2,15.8,16.9,42.2,low,0.888,60,37.2
TRP-00031,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 11:30:00,2025-03-01 11:30:00,0,31.7,32.9,1.2,14,cloudy,6.4,0,11.5,63.3,low,0.964,60,60.3
TRP-00032,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 11:42:00,2025-03-01 11:44:06,2.1,31.7,32.3,0.6,14,clear,6.4,0,5.8,78.6,low,0.981,60,18.3
TRP-00033,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 11:54:00,2025-03-01 11:54:00,0,31.7,31.3,-0.4,14,clear,27.5,0,2.9,43.0,low,1.012,60,82.8
TRP-00034,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 12:06:00,2025-03-01 12:10:06,4.1,31.7,31.2,-0.5,14,cloudy,8.4,0,2.9,97.4,low,1.015,60,50.0
TRP-00035,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 12:18:00,2025-03-01 12:18:00,0,31.7,51.2,19.5,14,cloudy,34.2,0,10.9,36.2,high,0.619,60,89.4
TRP-00036,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 12:30:00,2025-03-01 12:30:00,0,31.7,39.6,7.9,14,rain,7.0,12.8,3.4,94.5,low,0.8,60,96.6
TRP-00037,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 12:42:00,2025-03-01 12:42:00,0,31.7,73.9,42.2,14,clear,13.8,0,0.2,65.4,congested,0.429,60,88.6
TRP-00038,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 12:54:00,2025-03-01 12:59:48,5.8,31.7,62.6,30.9,14,snow,13.7,12.2,34.7,93.3,moderate,0.506,60,70.6
TRP-00039,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 13:06:00,2025-03-01 13:07:54,1.9,31.7,30.9,-0.8,14,clear,19.4,0,9.5,36.7,low,1.025,60,37.9
TRP-00040,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 13:18:00,2025-03-01 13:18:00,0,31.7,41.1,9.4,14,clear,23.6,0,10.3,61.1,moderate,0.771,60,54.7
TRP-00041,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 13:30:00,2025-03-01 13:30:00,0,31.7,53.9,22.2,14,clear,9.9,0,17.5,80.9,high,0.588,60,20.9
TRP-00042,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 13:42:00,2025-03-01 13:42:00,0,31.7,35.0,3.3,14,rain,17.5,6.4,16.1,77.0,low,0.905,60,48.2
TRP-00043,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 13:54:00,2025-03-01 13:54:00,0,31.7,53.3,21.6,14,cloudy,27.9,0,10.6,70.2,high,0.595,60,55.1
TRP-00044,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 14:06:00,2025-03-01 14:06:00,0,31.7,52.0,20.3,14,clear,9.4,0,9.4,48.2,high,0.61,60,50.8
TRP-00045,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 14:18:00,2025-03-01 14:18:00,0,31.7,36.8,5.1,14,rain,13.9,4.3,1.4,41.6,low,0.862,60,48.6
TRP-00046,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 14:30:00,2025-03-01 14:30:00,0,31.7,29.7,-2.0,14,clear,10.2,0,14.4,65.7,low,1.069,60,90.7
TRP-00047,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 14:42:00,2025-03-01 14:43:24,1.4,31.7,30.0,-1.7,14,clear,20.7,0,16.2,67.4,low,1.058,60,18.0
TRP-00048,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 14:54:00,2025-03-01 14:59:36,5.6,31.7,81.7,50.0,14,wind,34.5,0,50.1,95.8,congested,0.388,60,69.0
TRP-00049,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 15:06:00,2025-03-01 15:06:00,0,31.7,37.4,5.7,14,wind,22.6,0,7.2,92.9,low,0.848,60,20.9
TRP-00050,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 15:18:00,2025-03-01 15:18:00,0,31.7,45.2,13.5,14,rain,2.9,7.0,9.7,61.6,moderate,0.702,60,35.1
TRP-00051,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 15:30:00,2025-03-01 15:30:00,0,31.7,33.6,1.9,14,clear,20.6,0,9.1,52.9,low,0.943,60,38.2
TRP-00052,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 15:42:00,2025-03-01 15:42:00,0,31.7,39.6,7.9,14,rain,33.9,17.3,14.0,85.9,low,0.801,60,54.4
TRP-00053,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 15:54:00,2025-03-01 15:54:00,0,31.7,46.6,14.9,14,rain,14.3,19.3,9.0,58.5,moderate,0.68,60,62.0
TRP-00054,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 16:06:00,2025-03-01 16:06:00,0,31.7,31.6,-0.1,14,cloudy,14.2,0,4.4,50.7,low,1.003,60,71.1
TRP-00055,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 16:18:00,2025-03-01 16:18:00,0,31.7,46.8,15.1,14,rain,26.8,14.3,10.6,46.5,moderate,0.678,60,54.1
TRP-00056,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 16:30:00,2025-03-01 16:30:00,0,31.7,43.0,11.3,14,wind,22.5,0,20.6,57.7,moderate,0.738,60,35.9
TRP-00057,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 16:42:00,2025-03-01 16:44:18,2.3,31.7,34.3,2.6,14,cloudy,4.4,0,15.0,60.2,low,0.923,60,20.7
TRP-00058,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 16:54:00,2025-03-01 16:54:00,0,31.7,31.5,-0.2,14,cloudy,26.9,0,7.4,50.2,low,1.007,60,41.0
TRP-00059,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 17:06:00,2025-03-01 17:07:24,1.4,31.7,41.4,9.7,14,clear,27.6,0,7.3,89.0,moderate,0.766,60,70.2
TRP-00060,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 17:18:00,2025-03-01 17:18:00,0,31.7,32.2,0.5,14,clear,22.6,0,5.5,66.9,low,0.984,60,95.6
TRP-00061,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 17:30:00,2025-03-01 17:30:00,0,31.7,35.2,3.5,14,rain,22.7,3.9,3.1,59.3,low,0.9,60,63.2
TRP-00062,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 17:42:00,2025-03-01 17:42:00,0,31.7,32.7,1.0,14,cloudy,21.9,0,6.1,50.3,low,0.97,60,49.4
TRP-00063,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 17:54:00,2025-03-01 17:54:00,0,31.7,42.7,11.0,14,wind,24.3,0,52.8,64.4,moderate,0.742,60,84.0
TRP-00064,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 18:06:00,2025-03-01 18:07:48,1.8,31.7,34.0,2.3,14,cloudy,32.8,0,15.4,84.4,low,0.932,60,61.4
TRP-00065,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 18:18:00,2025-03-01 18:18:00,0,31.7,50.2,18.5,14,cloudy,22.6,0,8.5,85.4,high,0.632,60,51.1
TRP-00066,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 18:30:00,2025-03-01 18:30:00,0,31.7,33.7,2.0,14,clear,22.1,0,11.4,97.6,low,0.942,60,67.0
TRP-00067,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 18:42:00,2025-03-01 18:42:00,0,31.7,31.0,-0.7,14,cloudy,6.3,0,11.3,36.8,low,1.024,60,23.8
TRP-00068,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 18:54:00,2025-03-01 18:54:00,0,31.7,78.1,46.4,14,snow,9.2,3.0,28.3,88.1,high,0.406,60,23.3
TRP-00069,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 19:06:00,2025-03-01 19:08:54,2.9,31.7,43.4,11.7,14,wind,15.8,0,54.6,60.0,moderate,0.73,60,20.1
TRP-00070,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 19:18:00,2025-03-01 19:18:00,0,31.7,37.3,5.6,14,cloudy,26.0,0,9.4,58.9,moderate,0.851,60,44.1
TRP-00071,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 19:30:00,2025-03-01 19:32:36,2.6,31.7,50.4,18.7,14,clear,28.5,0,12.5,54.8,high,0.629,60,77.5
TRP-00072,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 19:42:00,2025-03-01 19:46:36,4.6,31.7,39.4,7.7,14,cloudy,31.3,0,5.6,80.4,moderate,0.804,60,65.2
TRP-00073,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 19:54:00,2025-03-01 19:54:00,0,31.7,33.9,2.2,14,clear,26.8,0,15.6,44.1,low,0.935,60,92.4
TRP-00074,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 20:06:00,2025-03-01 20:06:00,0,31.7,38.1,6.4,14,rain,31.5,4.9,16.5,70.9,low,0.833,60,43.0
TRP-00075,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 20:18:00,2025-03-01 20:18:00,0,31.7,50.2,18.5,14,clear,17.2,0,6.8,37.2,high,0.632,60,45.9
TRP-00076,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 20:30:00,2025-03-01 20:30:00,0,31.7,47.6,15.9,14,snow,26.2,7.7,22.5,47.1,low,0.666,60,54.8
TRP-00077,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 20:42:00,2025-03-01 20:46:30,4.5,31.7,39.3,7.6,14,cloudy,28.8,0,2.1,52.5,moderate,0.807,60,36.7
TRP-00078,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 20:54:00,2025-03-01 20:54:00,0,31.7,49.7,18.0,14,clear,7.2,0,12.8,93.6,high,0.638,60,94.8
TRP-00079,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 21:06:00,2025-03-01 21:06:00,0,31.7,32.2,0.5,14,cloudy,4.8,0,7.5,37.9,low,0.985,60,97.8
TRP-00080,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 21:18:00,2025-03-01 21:18:00,0,31.7,54.8,23.1,14,fog,5.8,0,17.5,68.2,moderate,0.578,60,17.0
TRP-00081,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 21:30:00,2025-03-01 21:30:00,0,31.7,46.1,14.4,14,snow,33.2,8.3,12.5,73.5,low,0.688,60,96.8
TRP-00082,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 21:42:00,2025-03-01 21:43:54,1.9,31.7,33.8,2.1,14,clear,16.4,0,11.4,83.3,low,0.937,60,38.9
TRP-00083,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 21:54:00,2025-03-01 21:54:00,0,31.7,60.0,28.3,14,snow,1.2,6.4,43.1,76.9,moderate,0.528,60,17.6
TRP-00084,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 22:06:00,2025-03-01 22:09:24,3.4,31.7,41.1,9.4,14,clear,13.8,0,12.1,48.8,moderate,0.771,60,33.2
TRP-00085,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 22:18:00,2025-03-01 22:19:12,1.2,31.7,31.5,-0.2,14,clear,17.2,0,6.3,83.3,low,1.005,60,26.4
TRP-00086,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 22:30:00,2025-03-01 22:30:00,0,31.7,37.7,6.0,14,clear,7.7,0,13.7,93.8,moderate,0.841,60,54.3
TRP-00087,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 22:42:00,2025-03-01 22:42:00,0,31.7,50.6,18.9,14,fog,35.6,0,6.2,93.6,moderate,0.626,60,74.7
TRP-00088,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 22:54:00,2025-03-01 22:59:18,5.3,31.7,49.8,18.1,14,cloudy,34.2,0,12.8,44.1,high,0.637,60,25.3
TRP-00089,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 05:30:00,2025-03-01 05:34:30,4.5,24.6,35.4,10.8,11,wind,25.6,0,46.7,93.0,moderate,0.694,60,39.2
TRP-00090,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 05:45:00,2025-03-01 05:48:06,3.1,24.6,40.1,15.5,11,cloudy,8.1,0,11.3,51.7,high,0.614,60,36.0
TRP-00091,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 06:00:00,2025-03-01 06:00:00,0,24.6,43.0,18.4,11,wind,30.5,0,33.8,63.5,high,0.572,60,71.9
TRP-00092,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 06:15:00,2025-03-01 06:19:00,4.0,24.6,28.3,3.7,11,rain,20.4,10.5,14.4,66.5,low,0.868,60,78.3
TRP-00093,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 06:30:00,2025-03-01 06:30:00,0,24.6,44.9,20.3,11,rain,21.9,9.4,15.6,62.2,high,0.548,60,25.0
TRP-00094,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 06:45:00,2025-03-01 06:45:00,0,24.6,49.7,25.1,11,fog,8.3,0,17.8,61.3,high,0.495,60,71.9
TRP-00095,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 07:00:00,2025-03-01 07:01:42,1.7,24.6,29.9,5.3,11,clear,23.5,0,14.7,77.7,moderate,0.823,60,40.0
TRP-00096,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 07:15:00,2025-03-01 07:15:00,0,24.6,24.9,0.3,11,clear,14.2,0,6.6,44.6,low,0.989,60,60.1
TRP-00097,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 07:30:00,2025-03-01 07:31:30,1.5,24.6,29.1,4.5,11,cloudy,26.6,0,14.5,88.0,moderate,0.846,60,42.4
TRP-00098,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 07:45:00,2025-03-01 07:46:12,1.2,24.6,25.4,0.8,11,clear,8.9,0,5.6,57.6,low,0.968,60,84.9
TRP-00099,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 08:00:00,2025-03-01 08:00:00,0,24.6,23.1,-1.5,11,clear,2.6,0,15.0,82.9,low,1.065,60,42.9
TRP-00100,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 08:15:00,2025-03-01 08:15:00,0,24.6,43.8,19.2,11,snow,-0.1,13.7,11.0,33.8,moderate,0.562,60,86.8
TRP-00101,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 08:30:00,2025-03-01 08:31:36,1.6,24.6,24.3,-0.3,11,clear,10.5,0,12.2,91.9,low,1.011,60,62.0
TRP-00102,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 08:45:00,2025-03-01 08:47:00,2.0,24.6,30.2,5.6,11,clear,27.8,0,2.3,84.7,moderate,0.815,60,48.0
TRP-00103,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 09:00:00,2025-03-01 09:00:00,0,24.6,57.6,33.0,11,clear,20.6,0,1.3,90.1,congested,0.427,60,96.4
TRP-00104,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 09:15:00,2025-03-01 09:15:00,0,24.6,25.9,1.3,11,clear,34.0,0,8.0,33.5,low,0.948,60,77.4
TRP-00105,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 09:30:00,2025-03-01 09:30:00,0,24.6,29.0,4.4,11,cloudy,11.9,0,17.7,62.5,moderate,0.848,60,72.6
TRP-00106,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 09:45:00,2025-03-01 09:52:18,7.3,24.6,29.3,4.7,11,rain,11.7,4.8,1.5,30.3,low,0.841,60,17.4
TRP-00107,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 10:00:00,2025-03-01 10:00:00,0,24.6,43.7,19.1,11,cloudy,1.2,0,3.0,43.4,high,0.563,60,51.8
TRP-00108,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 10:15:00,2025-03-01 10:17:48,2.8,24.6,26.1,1.5,11,clear,33.0,0,1.5,97.9,low,0.944,60,49.8
TRP-00109,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 10:30:00,2025-03-01 10:30:00,0,24.6,28.9,4.3,11,clear,1.7,0,6.1,63.9,moderate,0.852,60,74.9
TRP-00110,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 10:45:00,2025-03-01 10:48:18,3.3,24.6,32.3,7.7,11,cloudy,7.7,0,8.8,87.1,moderate,0.762,60,97.2
TRP-00111,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 11:00:00,2025-03-01 11:00:00,0,24.6,29.3,4.7,11,rain,21.4,17.5,10.8,92.2,low,0.84,60,96.8
TRP-00112,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 11:15:00,2025-03-01 11:19:18,4.3,24.6,40.2,15.6,11,fog,3.0,0,7.1,95.7,moderate,0.612,60,82.7
TRP-00113,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 11:30:00,2025-03-01 11:32:00,2.0,24.6,28.8,4.2,11,clear,21.4,0,3.5,67.3,moderate,0.853,60,22.6
TRP-00114,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 11:45:00,2025-03-01 11:45:00,0,24.6,28.1,3.5,11,clear,10.3,0,14.7,81.0,moderate,0.876,60,48.8
TRP-00115,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 12:00:00,2025-03-01 12:01:00,1.0,24.6,48.4,23.8,11,snow,35.2,0.3,41.5,78.6,moderate,0.508,60,26.1
TRP-00116,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 12:15:00,2025-03-01 12:15:00,0,24.6,30.4,5.8,11,rain,8.8,9.3,17.6,83.3,low,0.809,60,71.7
TRP-00117,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 12:30:00,2025-03-01 12:30:00,0,24.6,33.0,8.4,11,cloudy,35.5,0,10.6,67.7,moderate,0.745,60,15.9
TRP-00118,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 12:45:00,2025-03-01 12:45:00,0,24.6,23.3,-1.3,11,clear,22.9,0,6.2,42.1,low,1.057,60,64.1
TRP-00119,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 13:00:00,2025-03-01 13:05:24,5.4,24.6,30.9,6.3,11,fog,29.1,0,16.5,56.9,low,0.797,60,17.7
TRP-00120,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 13:15:00,2025-03-01 13:15:00,0,24.6,24.2,-0.4,11,cloudy,19.5,0,6.2,34.1,low,1.018,60,18.5
TRP-00121,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 13:30:00,2025-03-01 13:32:30,2.5,24.6,24.9,0.3,11,clear,12.7,0,4.7,38.6,low,0.987,60,39.5
TRP-00122,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 13:45:00,2025-03-01 13:46:06,1.1,24.6,26.0,1.4,11,cloudy,5.2,0,13.1,96.7,low,0.946,60,19.4
TRP-00123,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 14:00:00,2025-03-01 14:06:36,6.6,24.6,39.7,15.1,11,clear,17.6,0,17.3,38.4,high,0.619,60,78.3
TRP-00124,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 14:15:00,2025-03-01 14:15:00,0,24.6,32.2,7.6,11,fog,21.8,0,10.0,57.6,low,0.764,60,60.3
TRP-00125,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 14:30:00,2025-03-01 14:33:12,3.2,24.6,39.4,14.8,11,snow,33.3,2.9,22.5,40.6,low,0.624,60,44.4
TRP-00126,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 14:45:00,2025-03-01 14:45:00,0,24.6,23.9,-0.7,11,clear,23.8,0,14.8,84.9,low,1.031,60,96.8
TRP-00127,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 15:00:00,2025-03-01 15:00:00,0,24.6,28.6,4.0,11,clear,26.8,0,1.2,45.4,moderate,0.861,60,81.4
TRP-00128,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 15:15:00,2025-03-01 15:16:18,1.3,24.6,49.2,24.6,11,rain,19.3,13.3,6.8,63.2,high,0.5,60,89.7
TRP-00129,L02,Sanayi - Hastane,2025-03-01,5,1,2025-03-01 15:30:00,2025-03-01 15:30:00,0,24.6,46.9,22.3,11,snow,2.0,16.9,31.0,52.1,moderate,0.525,60,71.4
