stop_id,line_id,stop_type,hour_of_day,day_of_week,is_weekend,time_bucket,weather_condition,avg_passengers_waiting,avg_passengers_boarding,avg_dwell_time_min,sample_count,std_passengers_waiting,max_passengers_waiting,crowding_level
STP-L01-03,L01,regular,17,3,0,evening_rush,wind,22,18,2.0,81,7.3,59,moderate
STP-L01-03,L01,regular,17,3,0,evening_rush,fog,21,17,0.7,107,5.8,50,moderate
STP-L01-03,L01,regular,18,2,0,evening_rush,clear,13,9,2.8,82,1.6,29,light
STP-L01-03,L01,regular,18,2,0,evening_rush,wind,16,10,1.9,74,4.5,32,moderate
STP-L01-03,L01,regular,18,3,0,evening_rush,rain,17,10,0.9,12,3.1,30,moderate
STP-L01-03,L01,regular,18,3,0,evening_rush,fog,23,14,2.9,32,6.5,38,moderate
STP-L01-03,L01,regular,18,5,1,evening_rush,cloudy,8,6,1.2,25,1.4,20,light
STP-L01-03,L01,regular,18,5,1,evening_rush,wind,9,6,2.6,89,2.1,20,light
STP-L01-03,L01,regular,20,0,0,evening,clear,6,5,1.1,90,1.3,11,light
STP-L01-03,L01,regular,20,0,0,evening,cloudy,9,5,0.5,13,3.0,18,light
STP-L01-03,L01,regular,20,3,0,evening,clear,10,6,1.1,56,2.0,16,light
STP-L01-03,L01,regular,20,3,0,evening,fog,9,6,0.5,51,2.4,23,light
STP-L01-03,L01,regular,20,5,1,evening,rain,6,4,2.5,91,1.6,11,light
STP-L01-03,L01,regular,20,5,1,evening,snow,6,4,1.8,70,1.0,16,light
STP-L01-03,L01,regular,20,6,1,evening,rain,5,4,0.5,88,1.2,11,light
STP-L01-03,L01,regular,20,6,1,evening,fog,7,5,1.2,76,2.1,18,light
STP-L01-03,L01,regular,22,1,0,evening,fog,11,9,1.7,72,2.4,22,light
STP-L01-03,L01,regular,22,1,0,evening,snow,12,9,1.0,87,2.5,28,light
STP-L01-03,L01,regular,22,3,0,evening,wind,11,9,2.2,92,1.9,30,light
STP-L01-03,L01,regular,22,3,0,evening,clear,7,4,2.3,83,1.9,16,light
STP-L01-04,L01,university,6,3,0,early_morning,clear,37,24,1.5,30,7.7,102,busy
STP-L01-04,L01,university,6,3,0,early_morning,rain,66,43,2.6,29,17.0,138,crowded
STP-L01-04,L01,university,6,4,0,early_morning,wind,41,36,2.2,90,12.6,66,busy
STP-L01-04,L01,university,6,4,0,early_morning,cloudy,56,38,2.4,79,5.7,88,crowded
STP-L01-04,L01,university,6,5,1,early_morning,fog,38,30,2.9,25,10.0,90,busy
STP-L01-04,L01,university,6,5,1,early_morning,wind,38,28,1.0,58,11.8,88,busy
STP-L01-04,L01,university,7,5,1,morning_rush,wind,82,59,1.8,90,28.2,119,crowded
STP-L01-04,L01,university,7,5,1,morning_rush,fog,72,50,0.4,103,8.7,138,crowded
STP-L01-04,L01,university,8,0,0,morning_rush,wind,134,98,1.1,106,31.7,304,crowded
STP-L01-04,L01,university,8,0,0,morning_rush,cloudy,115,102,0.9,44,11.8,215,crowded
STP-L01-04,L01,university,8,3,0,morning_rush,fog,100,84,1.0,32,18.6,208,crowded
STP-L01-04,L01,university,8,3,0,morning_rush,cloudy,126,78,2.1,108,41.1,216,crowded
STP-L01-04,L01,university,8,4,0,morning_rush,fog,114,101,1.6,98,34.0,189,crowded
STP-L01-04,L01,university,8,4,0,morning_rush,rain,154,121,1.2,21,45.8,289,crowded
STP-L01-04,L01,university,9,1,0,midday,fog,44,38,2.3,12,14.9,87,busy
STP-L01-04,L01,university,9,1,0,midday,snow,58,50,2.9,17,11.0,94,crowded
STP-L01-04,L01,university,13,2,0,lunch,rain,103,93,2.3,59,28.3,165,crowded
STP-L01-04,L01,university,13,2,0,lunch,wind,55,35,1.5,62,9.0,116,crowded
STP-L01-04,L01,university,13,4,0,lunch,cloudy,56,35,2.5,98,16.7,84,crowded
STP-L01-04,L01,university,13,4,0,lunch,rain,99,71,1.7,94,19.7,252,crowded
STP-L01-04,L01,university,13,5,1,lunch,snow,76,56,2.8,104,15.1,200,crowded
STP-L01-04,L01,university,13,5,1,lunch,clear,32,29,2.8,105,4.2,45,busy
STP-L01-04,L01,university,13,6,1,lunch,rain,54,33,1.2,50,18.3,91,crowded
STP-L01-04,L01,university,13,6,1,lunch,cloudy,52,43,0.5,82,9.3,112,crowded
STP-L01-04,L01,university,17,0,0,evening_rush,snow,140,98,2.1,85,40.4,230,crowded
STP-L01-04,L01,university,17,0,0,evening_rush,wind,98,88,1.4,50,27.6,242,crowded
STP-L01-04,L01,university,17,1,0,evening_rush,snow,124,108,2.3,13,23.3,280,crowded
STP-L01-04,L01,university,17,1,0,evening_rush,rain,94,73,2.1,45,23.8,217,crowded
STP-L01-04,L01,university,17,2,0,evening_rush,cloudy,99,67,1.1,114,31.3,241,crowded
STP-L01-04,L01,university,17,2,0,evening_rush,wind,90,60,1.7,69,17.6,196,crowded
STP-L01-04,L01,university,18,0,0,evening_rush,fog,78,53,1.4,34,19.0,217,crowded
STP-L01-04,L01,university,18,0,0,evening_rush,cloudy,96,77,1.2,86,15.9,210,crowded
STP-L01-04,L01,university,18,4,0,evening_rush,fog,83,65,1.0,23,22.9,174,crowded
STP-L01-04,L01,university,18,4,0,evening_rush,snow,151,129,1.3,54,27.5,349,crowded
STP-L01-04,L01,university,20,0,0,evening,cloudy,36,32,2.8,12,8.6,52,busy
STP-L01-04,L01,university,20,0,0,evening,wind,41,34,1.7,40,7.4,83,busy
STP-L01-04,L01,university,20,1,0,evening,rain,52,48,0.5,47,10.5,113,crowded
STP-L01-04,L01,university,20,1,0,evening,cloudy,58,37,1.7,100,6.6,105,crowded
STP-L01-04,L01,university,22,0,0,evening,rain,73,65,1.9,15,23.6,121,crowded
STP-L01-04,L01,university,22,0,0,evening,fog,56,48,2.8,77,16.0,92,crowded
STP-L01-04,L01,university,22,2,0,evening,clear,55,47,1.0,73,9.8,81,crowded
STP-L01-04,L01,university,22,2,0,evening,fog,49,46,2.4,17,14.4,91,busy
STP-L01-04,L01,university,22,5,1,evening,wind,33,20,1.5,87,6.3,81,busy
STP-L01-04,L01,university,22,5,1,evening,clear,22,16,1.7,107,4.2,44,moderate
STP-L01-05,L01,hospital,6,0,0,early_morning,fog,35,32,1.5,72,4.3,56,busy
STP-L01-05,L01,hospital,6,0,0,early_morning,cloudy,35,31,0.8,41,7.8,80,busy
STP-L01-05,L01,hospital,6,4,0,early_morning,cloudy,25,15,0.9,90,3.2,64,moderate
STP-L01-05,L01,hospital,6,4,0,early_morning,wind,30,26,2.6,27,8.3,45,busy
STP-L01-05,L01,hospital,6,5,1,early_morning,fog,22,17,2.6,30,5.3,43,moderate
STP-L01-05,L01,hospital,6,5,1,early_morning,wind,23,13,1.8,55,6.5,48,moderate
STP-L01-05,L01,hospital,7,0,0,morning_rush,fog,87,78,2.0,113,21.8,167,crowded
STP-L01-05,L01,hospital,7,0,0,morning_rush,wind,88,69,1.1,67,20.2,198,crowded
STP-L01-05,L01,hospital,7,1,0,morning_rush,cloudy,82,74,0.9,64,9.2,219,crowded
STP-L01-05,L01,hospital,7,1,0,morning_rush,wind,76,48,0.9,104,11.8,206,crowded
STP-L01-05,L01,hospital,7,2,0,morning_rush,clear,83,75,1.6,11,9.4,184,crowded
STP-L01-05,L01,hospital,7,2,0,morning_rush,cloudy,77,56,1.7,115,16.2,179,crowded
STP-L01-05,L01,hospital,7,5,1,morning_rush,cloudy,57,44,1.0,23,7.0,84,crowded
STP-L01-05,L01,hospital,7,5,1,morning_rush,fog,40,36,0.7,66,12.4,71,busy
STP-L01-05,L01,hospital,7,6,1,morning_rush,wind,48,32,2.6,55,13.5,132,busy
STP-L01-05,L01,hospital,7,6,1,morning_rush,rain,73,54,1.2,68,19.0,107,crowded
STP-L01-05,L01,hospital,8,0,0,morning_rush,fog,72,58,2.7,29,8.6,146,crowded
STP-L01-05,L01,hospital,8,0,0,morning_rush,rain,72,53,1.2,110,19.3,187,crowded
STP-L01-05,L01,hospital,8,1,0,morning_rush,cloudy,83,65,1.0,75,20.0,120,crowded
STP-L01-05,L01,hospital,8,1,0,morning_rush,clear,65,55,1.9,61,11.3,130,crowded
STP-L01-05,L01,hospital,8,2,0,morning_rush,clear,72,52,2.8,100,14.3,181,crowded
STP-L01-05,L01,hospital,8,2,0,morning_rush,snow,125,106,0.7,64,25.6,303,crowded
STP-L01-05,L01,hospital,8,5,1,morning_rush,rain,45,32,2.5,117,8.6,63,busy
STP-L01-05,L01,hospital,8,5,1,morning_rush,fog,60,50,0.5,92,10.2,163,crowded
STP-L01-05,L01,hospital,9,0,0,midday,clear,28,17,0.9,34,4.4,72,moderate
STP-L01-05,L01,hospital,9,0,0,midday,cloudy,33,25,0.8,17,4.6,61,busy
STP-L01-05,L01,hospital,9,1,0,midday,wind,26,20,0.6,92,6.8,51,moderate
STP-L01-05,L01,hospital,9,1,0,midday,snow,46,40,1.9,57,5.2,95,busy
STP-L01-05,L01,hospital,9,5,1,midday,snow,35,31,2.4,21,4.1,61,busy
STP-L01-05,L01,hospital,9,5,1,midday,cloudy,18,15,3.0,34,5.2,32,moderate
STP-L01-05,L01,hospital,12,0,0,lunch,cloudy,32,25,1.4,118,7.9,83,busy
STP-L01-05,L01,hospital,12,0,0,lunch,snow,54,44,2.8,66,13.7,144,crowded
STP-L01-05,L01,hospital,12,1,0,lunch,wind,44,35,1.1,67,5.0,66,busy
STP-L01-05,L01,hospital,12,1,0,lunch,cloudy,45,32,0.6,90,6.4,110,busy
STP-L01-05,L01,hospital,12,2,0,lunch,clear,31,28,0.5,111,9.7,74,busy
STP-L01-05,L01,hospital,12,2,0,lunch,wind,43,29,1.8,118,6.3,111,busy
STP-L01-05,L01,hospital,12,3,0,lunch,snow,59,42,0.5,26,16.3,127,crowded
STP-L01-05,L01,hospital,12,3,0,lunch,fog,50,39,3.0,105,16.7,130,crowded
STP-L01-05,L01,hospital,12,6,1,lunch,cloudy,28,24,0.7,47,5.0,40,moderate
STP-L01-05,L01,hospital,12,6,1,lunch,snow,45,42,0.8,15,8.5,119,busy
STP-L01-05,L01,hospital,13,0,0,lunch,clear,39,35,0.5,79,9.8,91,busy
STP-L01-05,L01,hospital,13,0,0,lunch,wind,50,31,2.9,92,8.8,115,crowded
STP-L01-05,L01,hospital,13,2,0,lunch,wind,48,42,0.8,90,5.6,114,busy
STP-L01-05,L01,hospital,13,2,0,lunch,clear,33,27,1.0,11,8.0,82,busy
STP-L01-05,L01,hospital,13,3,0,lunch,wind,53,34,1.5,48,18.5,129,crowded
STP-L01-05,L01,hospital,13,3,0,lunch,fog,43,27,1.9,115,4.7,64,busy
STP-L01-05,L01,hospital,13,5,1,lunch,snow,32,28,2.4,114,6.5,74,busy
STP-L01-05,L01,hospital,13,5,1,lunch,rain,30,25,2.6,80,4.1,58,busy
STP-L01-05,L01,hospital,13,6,1,lunch,clear,25,20,2.4,63,6.9,69,moderate
STP-L01-05,L01,hospital,13,6,1,lunch,wind,30,18,2.2,53,7.3,75,busy
STP-L01-05,L01,hospital,17,2,0,evening_rush,clear,63,43,1.0,62,19.3,161,crowded
STP-L01-05,L01,hospital,17,2,0,evening_rush,snow,104,80,2.9,55,29.1,188,crowded
STP-L01-05,L01,hospital,17,4,0,evening_rush,wind,69,45,1.6,67,11.9,106,crowded
STP-L01-05,L01,hospital,17,4,0,evening_rush,clear,48,33,0.5,110,6.1,123,busy
STP-L01-05,L01,hospital,17,5,1,evening_rush,clear,44,38,1.0,73,10.4,78,busy
STP-L01-05,L01,hospital,17,5,1,evening_rush,snow,68,47,2.5,32,10.9,182,crowded
STP-L01-05,L01,hospital,17,6,1,evening_rush,clear,33,30,2.0,35,4.5,49,busy
STP-L01-05,L01,hospital,17,6,1,evening_rush,rain,47,34,2.9,39,6.1,89,busy
STP-L01-05,L01,hospital,18,0,0,evening_rush,snow,81,76,1.1,106,8.5,161,crowded
STP-L01-05,L01,hospital,18,0,0,evening_rush,fog,57,54,1.3,15,9.8,90,crowded
STP-L01-05,L01,hospital,18,2,0,evening_rush,cloudy,73,61,1.8,69,11.9,167,crowded
STP-L01-05,L01,hospital,18,2,0,evening_rush,wind,57,43,1.8,69,19.9,86,crowded
STP-L01-05,L01,hospital,18,4,0,evening_rush,fog,52,35,1.1,23,10.3,93,crowded
STP-L01-05,L01,hospital,18,4,0,evening_rush,rain,68,42,2.5,52,22.3,137,crowded
STP-L01-05,L01,hospital,18,5,1,evening_rush,rain,52,44,2.7,21,5.3,128,crowded
STP-L01-05,L01,hospital,18,5,1,evening_rush,snow,46,28,1.3,28,15.3,71,busy
STP-L01-05,L01,hospital,18,6,1,evening_rush,rain,58,47,0.6,58,13.0,128,crowded
STP-L01-05,L01,hospital,18,6,1,evening_rush,clear,32,28,1.8,52,3.2,45,busy
STP-L01-05,L01,hospital,20,2,0,evening,fog,31,23,2.5,70,3.4,79,busy
STP-L01-05,L01,hospital,20,2,0,evening,clear,30,19,2.5,52,8.7,70,busy
STP-L01-05,L01,hospital,20,4,0,evening,fog,25,21,2.1,99,5.1,52,moderate
STP-L01-05,L01,hospital,20,4,0,evening,wind,34,29,0.8,17,10.5,52,busy
STP-L01-05,L01,hospital,22,3,0,evening,clear,28,24,0.7,84,2.9,43,moderate
STP-L01-05,L01,hospital,22,3,0,evening,rain,42,31,1.7,18,4.3,105,busy
