observation_id,trip_id,line_id,stop_id,stop_sequence,stop_type,date,day_of_week,is_weekend,hour_of_day,time_bucket,planned_arrival,actual_arrival,delay_min,is_delayed,passengers_waiting,passengers_boarding,passengers_alighting,dwell_time_min,cumulative_delay_min,weather_condition,traffic_level,speed_factor,minutes_to_next_bus
OBS-000020,TRP-13268,L04,STP-L04-06,6,residential,2025-03-30,6,1,9,midday,2025-03-30 09:50:30,2025-03-30 09:53:54,3.4,1,9,5,8,1.2,3.4,cloudy,moderate,0.779,25.0
OBS-000021,TRP-13268,L04,STP-L04-07,7,residential,2025-03-30,6,1,9,midday,2025-03-30 09:54:24,2025-03-30 09:58:30,4.1,1,9,9,0,1.4,4.1,cloudy,moderate,0.779,19.9
OBS-000022,TRP-13268,L04,STP-L04-08,8,market,2025-03-30,6,1,9,midday,2025-03-30 09:57:18,2025-03-30 10:01:42,4.4,1,16,16,17,2.0,4.4,cloudy,moderate,0.779,16.5
OBS-000023,TRP-13268,L04,STP-L04-09,9,market,2025-03-30,6,1,9,midday,2025-03-30 10:00:48,2025-03-30 10:05:42,4.9,1,14,14,7,1.1,4.9,cloudy,moderate,0.779,38.4
OBS-000024,TRP-13268,L04,STP-L04-10,10,residential,2025-03-30,6,1,9,midday,2025-03-30 10:04:48,2025-03-30 10:10:18,5.5,1,6,5,3,0.9,5.5,cloudy,moderate,0.779,31.7
OBS-000025,TRP-13268,L04,STP-L04-11,11,hospital,2025-03-30,6,1,9,midday,2025-03-30 10:08:18,2025-03-30 10:14:30,6.2,1,16,1,0,0.5,6.2,cloudy,moderate,0.779,18.6
OBS-000026,TRP-13268,L04,STP-L04-12,12,terminal,2025-03-30,6,1,9,midday,2025-03-30 10:11:06,2025-03-30 10:18:00,6.9,1,33,22,27,2.5,6.9,cloudy,moderate,0.779,31.0
OBS-000027,TRP-07681,L01,STP-L01-01,1,terminal,2025-03-18,1,0,18,evening_rush,2025-03-18 18:22:36,2025-03-18 18:23:00,0.4,0,98,56,22,3.1,0.4,clear,moderate,0.781,10.9
OBS-000028,TRP-07681,L01,STP-L01-02,2,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 18:27:12,2025-03-18 18:27:54,0.7,0,19,14,16,1.8,0.7,clear,moderate,0.781,21.6
OBS-000029,TRP-07681,L01,STP-L01-03,3,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 18:31:12,2025-03-18 18:32:42,1.5,0,19,10,4,1.1,1.5,clear,moderate,0.781,19.3
OBS-000030,TRP-07681,L01,STP-L01-04,4,university,2025-03-18,1,0,18,evening_rush,2025-03-18 18:35:18,2025-03-18 18:37:48,2.5,1,69,48,14,2.8,2.5,clear,moderate,0.781,8.0
OBS-000031,TRP-07681,L01,STP-L01-05,5,hospital,2025-03-18,1,0,18,evening_rush,2025-03-18 18:39:36,2025-03-18 18:42:24,2.8,1,65,65,35,4.6,2.8,clear,moderate,0.781,13.2
OBS-000032,TRP-07681,L01,STP-L01-06,6,residential,2025-03-18,1,0,18,evening_rush,2025-03-18 18:47:36,2025-03-18 18:51:12,3.6,1,21,16,20,1.7,3.6,clear,moderate,0.781,16.1
OBS-000033,TRP-07681,L01,STP-L01-07,7,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 18:52:12,2025-03-18 18:56:48,4.6,1,12,4,1,0.9,4.6,clear,moderate,0.781,8.9
OBS-000034,TRP-07681,L01,STP-L01-08,8,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 18:55:36,2025-03-18 19:00:54,5.3,1,13,9,4,1.2,5.3,clear,moderate,0.781,12.0
OBS-000035,TRP-07681,L01,STP-L01-09,9,university,2025-03-18,1,0,18,evening_rush,2025-03-18 18:58:18,2025-03-18 19:03:54,5.6,1,69,6,3,1.1,5.6,clear,moderate,0.781,11.0
OBS-000036,TRP-07681,L01,STP-L01-10,10,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 19:01:24,2025-03-18 19:07:30,6.1,1,14,9,11,1.2,6.1,clear,moderate,0.781,22.0
OBS-000037,TRP-07681,L01,STP-L01-11,11,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 19:05:12,2025-03-18 19:11:54,6.7,1,13,11,14,1.4,6.7,clear,moderate,0.781,12.2
OBS-000038,TRP-07681,L01,STP-L01-12,12,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 19:09:24,2025-03-18 19:16:48,7.4,1,20,9,5,0.9,7.4,clear,moderate,0.781,14.2
OBS-000039,TRP-07681,L01,STP-L01-13,13,regular,2025-03-18,1,0,18,evening_rush,2025-03-18 19:12:42,2025-03-18 19:20:36,7.9,1,19,3,2,0.5,7.9,clear,moderate,0.781,20.8
OBS-000040,TRP-07681,L01,STP-L01-14,14,terminal,2025-03-18,1,0,18,evening_rush,2025-03-18 19:14:42,2025-03-18 19:23:06,8.4,1,89,59,21,3.6,8.4,clear,moderate,0.781,12.4
OBS-000041,TRP-12707,L03,STP-L03-01,1,terminal,2025-03-29,5,1,6,early_morning,2025-03-29 06:11:30,2025-03-29 06:12:18,0.8,0,31,18,22,2.3,0.8,clear,high,0.594,13.8
OBS-000042,TRP-12707,L03,STP-L03-02,2,market,2025-03-29,5,1,6,early_morning,2025-03-29 06:15:48,2025-03-29 06:18:00,2.2,1,14,3,6,0.6,2.2,clear,high,0.594,18.2
OBS-000043,TRP-12707,L03,STP-L03-03,3,hospital,2025-03-29,5,1,6,early_morning,2025-03-29 06:19:48,2025-03-29 06:24:24,4.6,1,18,6,1,0.8,4.6,clear,high,0.594,16.8
OBS-000044,TRP-12707,L03,STP-L03-04,4,regular,2025-03-29,5,1,6,early_morning,2025-03-29 06:23:06,2025-03-29 06:29:30,6.4,1,5,1,4,1.0,6.4,clear,high,0.594,13.6
OBS-000045,TRP-12707,L03,STP-L03-05,5,regular,2025-03-29,5,1,6,early_morning,2025-03-29 06:27:00,2025-03-29 06:35:30,8.5,1,5,2,3,1.1,8.5,clear,high,0.594,10.4
OBS-000046,TRP-12707,L03,STP-L03-06,6,hospital,2025-03-29,5,1,6,early_morning,2025-03-29 06:30:12,2025-03-29 06:39:54,9.7,1,15,3,3,0.5,9.7,clear,high,0.594,24.5
OBS-000047,TRP-12707,L03,STP-L03-07,7,market,2025-03-29,5,1,6,early_morning,2025-03-29 06:33:00,2025-03-29 06:44:12,11.2,1,17,13,7,1.6,11.2,clear,high,0.594,14.7
OBS-000048,TRP-12707,L03,STP-L03-08,8,residential,2025-03-29,5,1,6,early_morning,2025-03-29 06:38:24,2025-03-29 06:52:30,14.1,1,9,0,1,0.5,14.1,clear,high,0.594,23.6
OBS-000049,TRP-12707,L03,STP-L03-09,9,terminal,2025-03-29,5,1,6,early_morning,2025-03-29 06:41:12,2025-03-29 06:56:48,15.6,1,23,12,10,1.5,15.6,clear,high,0.594,9.1
OBS-000050,TRP-00161,L03,STP-L03-01,1,terminal,2025-03-01,5,1,5,early_morning,2025-03-01 05:54:12,2025-03-01 05:54:12,0.0,0,29,2,0,0.5,0.0,clear,low,0.939,6.3
OBS-000051,TRP-00161,L03,STP-L03-02,2,market,2025-03-01,5,1,5,early_morning,2025-03-01 05:56:42,2025-03-01 05:56:48,0.1,0,13,8,3,1.2,0.1,clear,low,0.939,15.2
OBS-000052,TRP-00161,L03,STP-L03-03,3,hospital,2025-03-01,5,1,5,early_morning,2025-03-01 06:01:18,2025-03-01 06:01:36,0.3,0,15,0,5,0.9,0.3,clear,low,0.939,7.5
OBS-000053,TRP-00161,L03,STP-L03-04,4,regular,2025-03-01,5,1,5,early_morning,2025-03-01 06:04:42,2025-03-01 06:05:18,0.6,0,5,5,5,1.1,0.6,clear,low,0.939,14.2
OBS-000054,TRP-00161,L03,STP-L03-05,5,regular,2025-03-01,5,1,5,early_morning,2025-03-01 06:08:42,2025-03-01 06:09:42,1.0,0,5,5,7,1.3,1.0,clear,low,0.939,5.4
OBS-000055,TRP-00161,L03,STP-L03-06,6,hospital,2025-03-01,5,1,5,early_morning,2025-03-01 06:12:06,2025-03-01 06:13:06,1.0,0,19,8,4,1.0,1.0,clear,low,0.939,11.2
OBS-000056,TRP-00161,L03,STP-L03-07,7,market,2025-03-01,5,1,5,early_morning,2025-03-01 06:15:24,2025-03-01 06:16:30,1.1,0,11,0,5,0.6,1.1,clear,low,0.939,6.4
OBS-000057,TRP-00161,L03,STP-L03-08,8,residential,2025-03-01,5,1,5,early_morning,2025-03-01 06:19:48,2025-03-01 06:21:00,1.2,0,8,7,10,1.4,1.2,clear,low,0.939,13.5
OBS-000058,TRP-00161,L03,STP-L03-09,9,terminal,2025-03-01,5,1,5,early_morning,2025-03-01 06:23:30,2025-03-01 06:24:48,1.3,0,30,8,9,1.2,1.3,clear,low,0.939,7.2
OBS-000059,TRP-06156,L05,STP-L05-01,1,terminal,2025-03-14,4,0,7,morning_rush,2025-03-14 07:33:06,2025-03-14 07:33:24,0.3,0,88,13,18,2.0,0.3,clear,moderate,0.865,6.7
OBS-000060,TRP-06156,L05,STP-L05-02,2,university,2025-03-14,4,0,7,morning_rush,2025-03-14 07:36:42,2025-03-14 07:37:24,0.7,0,127,51,3,2.4,0.7,clear,moderate,0.865,10.7
OBS-000061,TRP-06156,L05,STP-L05-03,3,university,2025-03-14,4,0,7,morning_rush,2025-03-14 07:41:12,2025-03-14 07:42:18,1.1,0,132,84,32,4.7,1.1,clear,moderate,0.865,13.8
OBS-000062,TRP-06156,L05,STP-L05-04,4,regular,2025-03-14,4,0,7,morning_rush,2025-03-14 07:48:06,2025-03-14 07:49:30,1.4,0,19,0,1,0.4,1.4,clear,moderate,0.865,12.7
OBS-000063,TRP-06156,L05,STP-L05-05,5,hospital,2025-03-14,4,0,7,morning_rush,2025-03-14 07:51:00,2025-03-14 07:52:42,1.7,0,78,76,12,4.2,1.7,clear,moderate,0.865,11.8
OBS-000064,TRP-06156,L05,STP-L05-06,6,market,2025-03-14,4,0,7,morning_rush,2025-03-14 07:57:12,2025-03-14 07:59:12,2.0,0,65,46,28,3.1,2.0,clear,moderate,0.865,6.4
OBS-000065,TRP-06156,L05,STP-L05-07,7,university,2025-03-14,4,0,7,morning_rush,2025-03-14 08:02:48,2025-03-14 08:05:12,2.4,1,112,75,0,3.4,2.4,clear,moderate,0.865,5.3
OBS-000066,TRP-06156,L05,STP-L05-08,8,market,2025-03-14,4,0,7,morning_rush,2025-03-14 08:09:54,2025-03-14 08:12:42,2.8,1,41,2,7,1.0,2.8,clear,moderate,0.865,13.0
OBS-000067,TRP-06156,L05,STP-L05-09,9,residential,2025-03-14,4,0,7,morning_rush,2025-03-14 08:12:24,2025-03-14 08:15:36,3.2,1,33,5,10,0.9,3.2,clear,moderate,0.865,8.5
OBS-000068,TRP-06156,L05,STP-L05-10,10,university,2025-03-14,4,0,7,morning_rush,2025-03-14 08:15:48,2025-03-14 08:19:36,3.8,1,89,73,10,3.6,3.8,clear,moderate,0.865,13.4
OBS-000069,TRP-06156,L05,STP-L05-11,11,residential,2025-03-14,4,0,7,morning_rush,2025-03-14 08:21:54,2025-03-14 08:26:18,4.4,1,26,0,2,0.9,4.4,clear,moderate,0.865,12.2
OBS-000070,TRP-06156,L05,STP-L05-12,12,university,2025-03-14,4,0,7,morning_rush,2025-03-14 08:26:00,2025-03-14 08:30:48,4.8,1,117,61,28,3.9,4.8,clear,moderate,0.865,6.1
OBS-000071,TRP-06156,L05,STP-L05-13,13,university,2025-03-14,4,0,7,morning_rush,2025-03-14 08:31:30,2025-03-14 08:36:36,5.1,1,123,78,35,4.9,5.1,clear,moderate,0.865,13.0
OBS-000072,TRP-06156,L05,STP-L05-14,14,market,2025-03-14,4,0,7,morning_rush,2025-03-14 08:38:54,2025-03-14 08:44:36,5.7,1,46,44,33,3.5,5.7,clear,moderate,0.865,6.2
OBS-000073,TRP-06156,L05,STP-L05-15,15,university,2025-03-14,4,0,7,morning_rush,2025-03-14 08:46:06,2025-03-14 08:52:30,6.4,1,131,52,17,3.4,6.4,clear,moderate,0.865,8.0
OBS-000074,TRP-06156,L05,STP-L05-16,16,terminal,2025-03-14,4,0,7,morning_rush,2025-03-14 08:51:00,2025-03-14 08:57:36,6.6,1,113,113,9,5.6,6.6,clear,moderate,0.865,4.8
OBS-000075,TRP-08742,L03,STP-L03-01,1,terminal,2025-03-20,3,0,17,evening_rush,2025-03-20 17:23:24,2025-03-20 17:27:48,4.4,1,128,91,35,5.2,4.4,snow,congested,0.276,49.0
OBS-000076,TRP-08742,L03,STP-L03-02,2,market,2025-03-20,3,0,17,evening_rush,2025-03-20 17:30:36,2025-03-20 17:40:12,9.6,1,63,58,31,3.7,9.6,snow,congested,0.276,19.2
OBS-000077,TRP-08742,L03,STP-L03-03,3,hospital,2025-03-20,3,0,17,evening_rush,2025-03-20 17:37:42,2025-03-20 17:55:30,17.8,1,104,52,8,2.9,17.8,snow,congested,0.276,28.8
OBS-000078,TRP-08742,L03,STP-L03-04,4,regular,2025-03-20,3,0,17,evening_rush,2025-03-20 17:43:06,2025-03-20 18:08:12,25.1,1,29,8,7,1.4,25.1,snow,congested,0.276,43.4
OBS-000079,TRP-08742,L03,STP-L03-05,5,regular,2025-03-20,3,0,17,evening_rush,2025-03-20 17:47:24,2025-03-20 18:20:00,32.6,1,21,21,2,1.9,32.6,snow,congested,0.276,28.8
OBS-000080,TRP-08742,L03,STP-L03-06,6,hospital,2025-03-20,3,0,17,evening_rush,2025-03-20 17:51:24,2025-03-20 18:29:18,37.9,1,90,8,13,1.1,37.9,snow,congested,0.276,32.3
OBS-000081,TRP-08742,L03,STP-L03-07,7,market,2025-03-20,3,0,17,evening_rush,2025-03-20 17:54:48,2025-03-20 18:38:12,43.4,1,85,29,31,2.4,43.4,snow,congested,0.276,23.8
OBS-000082,TRP-08742,L03,STP-L03-08,8,residential,2025-03-20,3,0,17,evening_rush,2025-03-20 18:01:00,2025-03-20 18:54:24,53.4,1,38,31,5,1.9,53.4,snow,congested,0.276,19.2
OBS-000083,TRP-08742,L03,STP-L03-09,9,terminal,2025-03-20,3,0,17,evening_rush,2025-03-20 18:05:12,2025-03-20 19:04:48,59.6,1,116,113,14,5.5,59.6,snow,congested,0.276,39.7
OBS-000084,TRP-08179,L02,STP-L02-01,1,terminal,2025-03-19,2,0,12,lunch,2025-03-19 12:03:54,2025-03-19 12:04:18,0.4,0,82,36,15,2.3,0.4,rain,low,0.833,12.4
OBS-000085,TRP-08179,L02,STP-L02-02,2,market,2025-03-19,2,0,12,lunch,2025-03-19 12:07:42,2025-03-19 12:08:24,0.7,0,49,13,15,1.9,0.7,rain,low,0.833,24.4
OBS-000086,TRP-08179,L02,STP-L02-03,3,residential,2025-03-19,2,0,12,lunch,2025-03-19 12:11:36,2025-03-19 12:12:42,1.1,0,19,0,3,0.7,1.1,rain,low,0.833,14.5
OBS-000087,TRP-08179,L02,STP-L02-04,4,regular,2025-03-19,2,0,12,lunch,2025-03-19 12:15:06,2025-03-19 12:16:48,1.7,0,15,5,1,0.5,1.7,rain,low,0.833,15.1
OBS-000088,TRP-08179,L02,STP-L02-05,5,hospital,2025-03-19,2,0,12,lunch,2025-03-19 12:18:30,2025-03-19 12:20:48,2.3,1,46,39,15,3.0,2.3,rain,low,0.833,11.2
OBS-000089,TRP-08179,L02,STP-L02-06,6,residential,2025-03-19,2,0,12,lunch,2025-03-19 12:23:12,2025-03-19 12:25:48,2.6,1,27,14,7,1.4,2.6,rain,low,0.833,18.7
OBS-000090,TRP-08179,L02,STP-L02-07,7,university,2025-03-19,2,0,12,lunch,2025-03-19 12:27:00,2025-03-19 12:30:06,3.1,1,86,58,12,3.2,3.1,rain,low,0.833,22.3
OBS-000091,TRP-08179,L02,STP-L02-08,8,hospital,2025-03-19,2,0,12,lunch,2025-03-19 12:31:42,2025-03-19 12:35:12,3.5,1,58,4,7,1.2,3.5,rain,low,0.833,11.6
OBS-000092,TRP-08179,L02,STP-L02-09,9,market,2025-03-19,2,0,12,lunch,2025-03-19 12:35:06,2025-03-19 12:39:12,4.1,1,39,3,0,1.1,4.1,rain,low,0.833,16.8
OBS-000093,TRP-08179,L02,STP-L02-10,10,hospital,2025-03-19,2,0,12,lunch,2025-03-19 12:38:54,2025-03-19 12:43:42,4.8,1,42,39,11,2.7,4.8,rain,low,0.833,9.6
OBS-000094,TRP-08179,L02,STP-L02-11,11,terminal,2025-03-19,2,0,12,lunch,2025-03-19 12:45:00,2025-03-19 12:50:24,5.4,1,62,1,2,0.5,5.4,rain,low,0.833,16.6
OBS-000095,TRP-08323,L03,STP-L03-01,1,terminal,2025-03-19,2,0,22,evening,2025-03-19 22:16:42,2025-03-19 22:16:54,0.2,0,50,2,4,1.2,0.2,clear,moderate,0.804,12.7
OBS-000096,TRP-08323,L03,STP-L03-02,2,market,2025-03-19,2,0,22,evening,2025-03-19 22:19:54,2025-03-19 22:20:24,0.5,0,21,21,3,1.7,0.5,clear,moderate,0.804,11.9
OBS-000097,TRP-08323,L03,STP-L03-03,3,hospital,2025-03-19,2,0,22,evening,2025-03-19 22:25:00,2025-03-19 22:26:18,1.3,0,32,4,8,1.1,1.3,clear,moderate,0.804,12.2
OBS-000098,TRP-08323,L03,STP-L03-04,4,regular,2025-03-19,2,0,22,evening,2025-03-19 22:28:36,2025-03-19 22:30:36,2.0,0,6,5,4,0.7,2.0,clear,moderate,0.804,13.3
OBS-000099,TRP-08323,L03,STP-L03-05,5,regular,2025-03-19,2,0,22,evening,2025-03-19 22:32:12,2025-03-19 22:35:12,3.0,1,7,6,1,0.6,3.0,clear,moderate,0.804,8.8
OBS-000100,TRP-08323,L03,STP-L03-06,6,hospital,2025-03-19,2,0,22,evening,2025-03-19 22:34:54,2025-03-19 22:38:18,3.4,1,26,20,2,1.4,3.4,clear,moderate,0.804,8.6
OBS-000101,TRP-08323,L03,STP-L03-07,7,market,2025-03-19,2,0,22,evening,2025-03-19 22:38:36,2025-03-19 22:42:48,4.2,1,25,8,9,1.6,4.2,clear,moderate,0.804,6.4
OBS-000102,TRP-08323,L03,STP-L03-08,8,residential,2025-03-19,2,0,22,evening,2025-03-19 22:44:00,2025-03-19 22:49:06,5.1,1,13,13,4,1.2,5.1,clear,moderate,0.804,16.4
OBS-000103,TRP-08323,L03,STP-L03-09,9,terminal,2025-03-19,2,0,22,evening,2025-03-19 22:47:30,2025-03-19 22:53:06,5.6,1,40,7,0,1.1,5.6,clear,moderate,0.804,17.4
OBS-000104,TRP-03142,L01,STP-L01-01,1,terminal,2025-03-08,5,1,6,early_morning,2025-03-08 06:31:54,2025-03-08 06:32:00,0.1,0,32,2,0,0.4,0.1,wind,low,0.946,12.9
OBS-000105,TRP-03142,L01,STP-L01-02,2,regular,2025-03-08,5,1,6,early_morning,2025-03-08 06:33:48,2025-03-08 06:34:00,0.2,0,7,0,1,0.5,0.2,wind,low,0.946,11.8
OBS-000106,TRP-03142,L01,STP-L01-03,3,regular,2025-03-08,5,1,6,early_morning,2025-03-08 06:36:30,2025-03-08 06:36:54,0.4,0,6,4,3,1.0,0.4,wind,low,0.946,17.3
OBS-000107,TRP-03142,L01,STP-L01-04,4,university,2025-03-08,5,1,6,early_morning,2025-03-08 06:40:30,2025-03-08 06:41:00,0.5,0,40,17,2,1.4,0.5,wind,low,0.946,10.7
OBS-000108,TRP-03142,L01,STP-L01-05,5,hospital,2025-03-08,5,1,6,early_morning,2025-03-08 06:43:24,2025-03-08 06:43:54,0.5,0,20,1,0,0.3,0.5,wind,low,0.946,16.6
OBS-000109,TRP-03142,L01,STP-L01-06,6,residential,2025-03-08,5,1,6,early_morning,2025-03-08 06:47:06,2025-03-08 06:47:30,0.4,0,9,0,3,0.4,0.4,wind,low,0.946,15.2
OBS-000110,TRP-03142,L01,STP-L01-07,7,regular,2025-03-08,5,1,6,early_morning,2025-03-08 06:50:24,2025-03-08 06:51:06,0.7,0,6,4,3,1.0,0.7,wind,low,0.946,18.1
OBS-000111,TRP-03142,L01,STP-L01-08,8,regular,2025-03-08,5,1,6,early_morning,2025-03-08 06:53:54,2025-03-08 06:54:54,1.0,0,6,0,4,0.4,1.0,wind,low,0.946,8.3
OBS-000112,TRP-03142,L01,STP-L01-09,9,university,2025-03-08,5,1,6,early_morning,2025-03-08 06:55:48,2025-03-08 06:57:00,1.2,0,37,10,12,1.6,1.2,wind,low,0.946,14.5
OBS-000113,TRP-03142,L01,STP-L01-10,10,regular,2025-03-08,5,1,6,early_morning,2025-03-08 06:59:24,2025-03-08 07:00:48,1.4,0,5,0,2,1.0,1.4,wind,low,0.946,13.8
OBS-000114,TRP-03142,L01,STP-L01-11,11,regular,2025-03-08,5,1,6,early_morning,2025-03-08 07:03:00,2025-03-08 07:04:30,1.5,0,6,6,7,1.1,1.5,wind,low,0.946,18.9
OBS-000115,TRP-03142,L01,STP-L01-12,12,regular,2025-03-08,5,1,6,early_morning,2025-03-08 07:06:54,2025-03-08 07:08:30,1.6,0,7,3,3,0.6,1.6,wind,low,0.946,12.4
OBS-000116,TRP-03142,L01,STP-L01-13,13,regular,2025-03-08,5,1,6,early_morning,2025-03-08 07:09:54,2025-03-08 07:11:36,1.7,0,7,4,5,0.6,1.7,wind,low,0.946,8.0
OBS-000117,TRP-03142,L01,STP-L01-14,14,terminal,2025-03-08,5,1,6,early_morning,2025-03-08 07:12:00,2025-03-08 07:13:48,1.8,0,27,16,20,1.7,1.8,wind,low,0.946,18.2
OBS-000118,TRP-07870,L03,STP-L03-01,1,terminal,2025-03-18,1,0,21,evening,2025-03-18 21:21:30,2025-03-18 21:22:06,0.6,0,50,42,30,3.0,0.6,wind,moderate,0.742,8.2
OBS-000119,TRP-07870,L03,STP-L03-02,2,market,2025-03-18,1,0,21,evening,2025-03-18 21:26:30,2025-03-18 21:27:54,1.4,0,22,16,5,1.2,1.4,wind,moderate,0.742,16.5
OBS-000120,TRP-07870,L03,STP-L03-03,3,hospital,2025-03-18,1,0,21,evening,2025-03-18 21:31:06,2025-03-18 21:34:00,2.9,1,38,21,23,1.8,2.9,wind,moderate,0.742,19.6
OBS-000121,TRP-07870,L03,STP-L03-04,4,regular,2025-03-18,1,0,21,evening,2025-03-18 21:35:24,2025-03-18 21:39:18,3.9,1,8,7,12,1.2,3.9,wind,moderate,0.742,14.0
OBS-000122,TRP-07870,L03,STP-L03-05,5,regular,2025-03-18,1,0,21,evening,2025-03-18 21:39:30,2025-03-18 21:44:24,4.9,1,8,4,0,1.1,4.9,wind,moderate,0.742,14.7
OBS-000123,TRP-07870,L03,STP-L03-06,6,hospital,2025-03-18,1,0,21,evening,2025-03-18 21:42:42,2025-03-18 21:48:24,5.7,1,35,18,11,1.3,5.7,wind,moderate,0.742,10.8
OBS-000124,TRP-07870,L03,STP-L03-07,7,market,2025-03-18,1,0,21,evening,2025-03-18 21:46:18,2025-03-18 21:52:54,6.6,1,28,13,15,2.0,6.6,wind,moderate,0.742,9.3
OBS-000125,TRP-07870,L03,STP-L03-08,8,residential,2025-03-18,1,0,21,evening,2025-03-18 21:52:06,2025-03-18 21:59:48,7.7,1,12,7,9,1.4,7.7,wind,moderate,0.742,11.9
OBS-000126,TRP-07870,L03,STP-L03-09,9,terminal,2025-03-18,1,0,21,evening,2025-03-18 21:55:48,2025-03-18 22:04:12,8.4,1,35,26,26,2.5,8.4,wind,moderate,0.742,8.9
